epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7736,4.74662,5.57814,4.20171,0,0,0,0,4.90659,5.20101,4.16435,0.00062,0.00062,0.00062
2,41.7409,4.26665,5.24993,4.01975,0,0,0,0,4.89691,5.01254,4.17882,0.00123505,0.00123505,0.00123505
3,62.7579,3.63216,4.61978,3.93445,0,0,0,0,4.82043,4.58041,4.1427,0.00182476,0.00182476,0.00182476
4,83.5492,3.12051,3.94392,3.51061,1,0.13309,0.30678,0.12569,2.80191,4.0324,3.15214,0.0018812,0.0018812,0.0018812
5,103.661,2.69312,3.31693,3.23728,0.67576,0.44118,0.42964,0.14323,2.55331,2.87385,3.08816,0.0018416,0.0018416,0.0018416
6,123.891,2.67466,2.91043,3.09342,0.00133,0.29412,0.00094,0.00035,4.02397,5.04805,3.85264,0.001802,0.001802,0.001802
7,144.036,2.62242,2.74197,2.82596,0.00288,0.14706,0.02678,0.00793,4.30244,4.03339,4.81248,0.0017624,0.0017624,0.0017624
8,164.002,2.38107,2.58942,2.70589,0.48483,0.4153,0.44392,0.13153,2.69093,2.96679,3.05833,0.0017228,0.0017228,0.0017228
9,183.794,2.42216,2.50656,2.70438,0.46766,0.67647,0.54868,0.27389,2.27489,2.70837,2.71158,0.0016832,0.0016832,0.0016832
10,203.641,2.33488,2.05235,2.54133,0.63616,0.61765,0.71001,0.31608,2.19879,2.02334,2.5677,0.0016436,0.0016436,0.0016436
11,223.514,2.49116,2.12961,2.6148,0.67754,0.7417,0.76246,0.28725,2.13652,2.20868,2.53339,0.001604,0.001604,0.001604
12,243.158,2.28781,1.85918,2.41915,0.92364,0.71174,0.84643,0.33949,2.14398,1.70047,2.46985,0.0015644,0.0015644,0.0015644
13,263.102,2.17246,1.74408,2.32251,0.8749,0.82353,0.89669,0.41122,2.05584,1.48309,2.36943,0.0015248,0.0015248,0.0015248
14,282.917,2.11601,1.59654,2.32535,0.91255,0.94118,0.93693,0.39879,2.09967,1.52776,2.46721,0.0014852,0.0014852,0.0014852
15,302.636,2.10002,1.66951,2.17497,0.96179,0.85294,0.92377,0.39374,2.00464,1.45341,2.38007,0.0014456,0.0014456,0.0014456
16,323.1,2.13393,1.72934,2.27923,0.92752,0.79412,0.91539,0.35069,2.22921,1.604,2.43686,0.001406,0.001406,0.001406
17,349.88,2.11485,1.54504,2.13609,0.88043,0.88235,0.92174,0.34387,2.17792,1.53896,2.3777,0.0013664,0.0013664,0.0013664
